City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
159,Souillac,MU,2022-04-26 18:42:28,-20.5167,57.5167,77.38,83,75,9.22
160,Mormugao,IN,2022-04-26 18:42:28,15.4,73.8,83.46,89,40,5.75
161,Tiksi,RU,2022-04-26 18:42:28,71.6872,128.8694,-6.27,100,59,3.96
162,Pergamino,AR,2022-04-26 18:39:24,-33.89,-60.5736,78.19,68,62,15.86
163,Zhuhai,CN,2022-04-26 18:42:29,22.2769,113.5678,80.85,94,40,8.05
164,Zaysan,KZ,2022-04-26 18:42:29,47.4667,84.8667,43.29,48,40,8.1
165,Hollins,US,2022-04-26 18:42:30,37.3413,-79.9431,65.08,77,75,3.0
166,Cayenne,GF,2022-04-26 18:42:30,4.9333,-52.3333,87.84,1,0,14.97
167,Visby,SE,2022-04-26 18:39:37,57.6409,18.296,40.82,65,0,9.22
168,Makakilo City,US,2022-04-26 18:40:52,21.3469,-158.0858,73.18,79,75,11.5
169,Nalut,LY,2022-04-26 18:42:30,30.3333,10.85,79.59,15,89,23.09
170,Tabou,CI,2022-04-26 18:42:31,4.423,-7.3528,81.43,81,100,6.11
171,Firminy,FR,2022-04-26 18:42:31,45.3873,4.2907,57.7,51,0,5.75
172,Erzin,TR,2022-04-26 18:42:31,36.9559,36.2,64.76,52,0,1.92
173,Chapais,CA,2022-04-26 18:42:32,49.7834,-74.8492,35.38,81,100,9.86
174,Cidreira,BR,2022-04-26 18:38:28,-30.1811,-50.2056,73.38,82,17,12.44
175,Pisco,PE,2022-04-26 18:42:32,-13.7,-76.2167,71.65,73,0,11.5
176,Cabedelo,BR,2022-04-26 18:39:31,-6.9811,-34.8339,84.87,73,36,17.72
177,Yumen,CN,2022-04-26 18:42:33,40.2833,97.2,46.96,19,100,5.82
178,Griffith,US,2022-04-26 18:42:33,41.5284,-87.4237,49.3,55,100,14.97
179,Victoria,HK,2022-04-26 18:40:59,22.2855,114.1577,81.32,89,0,5.99
180,Palembang,ID,2022-04-26 18:42:33,-2.9167,104.7458,80.69,89,20,2.3
181,Kaitangata,NZ,2022-04-26 18:42:34,-46.2817,169.8464,49.53,93,72,6.69
182,Grindavik,IS,2022-04-26 18:42:34,63.8424,-22.4338,46.35,76,75,4.61
183,Gizo,SB,2022-04-26 18:42:34,-8.103,156.8419,82.49,75,84,6.96
